customer_id,age,gender,region,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,paperless_billing,payment_method,num_support_calls,late_payments_last_year,avg_monthly_usage_gb,churn
CUST10029,52,Male,West,67,90.28,5790.07,One year,Fiber optic,Yes,Yes,No,Electronic check,1,1,164.6,No
CUST10030,45,Male,North,36,55.9,2038.98,Month-to-month,DSL,No,Yes,Yes,Bank transfer,0,3,175.0,Yes
CUST10031,46,Female,North,26,35.73,818.69,One year,No,No internet service,No internet service,Yes,Bank transfer,1,3,0.0,No
CUST10032,32,Female,East,8,44.83,487.52,Month-to-month,DSL,No,No,Yes,Electronic check,1,4,177.8,Yes
CUST10033,23,Female,North,29,78.31,2272.14,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,4,1,543.1,No
CUST10034,52,Female,East,18,,1373.78,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,0,2,371.1,Yes
CUST10035,73,Female,North,71,57.82,3744.9,Two year,DSL,No,No,No,Credit card,2,0,274.1,No
CUST10036,22,Male,North,38,54.59,2023.03,One year,DSL,No,No,Yes,,1,2,148.1,No
CUST10037,72,Male,North,10,80.07,774.18,One year,Fiber optic,No,Yes,No,Electronic check,1,2,278.1,Yes
CUST10038,70,Male,South,5,18.0,137.12,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,3,0,0.0,Yes
CUST10039,35,Male,North,62,84.29,5215.05,Month-to-month,Fiber optic,No,Yes,No,Credit card,0,1,232.9,No
CUST10040,57,Male,North,68,93.17,6167.47,One year,Fiber optic,No,No,Yes,Mailed check,2,0,480.7,No
CUST10041,28,Female,West,55,79.64,4298.14,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,0,2,396.8,Yes
CUST10042,65,Female,South,9,18.37,204.32,Two year,No,No internet service,No internet service,No,Credit card,2,1,0.0,No
CUST10043,62,Female,South,8,75.09,583.22,One year,Fiber optic,No,Yes,No,Electronic check,4,0,313.3,Yes
CUST10044,40,Male,North,15,84.33,,Month-to-month,Fiber optic,Yes,No,No,Electronic check,3,0,288.1,Yes
CUST10045,22,Female,South,55,96.38,5196.23,One year,Fiber optic,Yes,Yes,No,Bank transfer,1,0,450.9,Yes
CUST10046,79,Female,South,56,79.15,4179.49,Two year,DSL,Yes,No,Yes,Electronic check,5,1,112.9,Yes
CUST10047,46,Female,East,61,27.18,1543.92,Month-to-month,No,No internet service,No internet service,No,Electronic check,3,1,0.0,No
CUST10048,74,Male,North,7,51.46,355.53,One year,DSL,No,No,Yes,Electronic check,3,0,144.2,Yes
CUST10049,60,Male,West,12,71.63,829.61,Two year,DSL,Yes,Yes,Yes,Credit card,1,0,96.9,No
CUST10050,67,Female,West,65,93.96,6131.69,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,0,2,244.4,Yes
CUST10051,65,Male,North,67,76.22,4781.55,Two year,Fiber optic,No,No,Yes,Bank transfer,2,0,315.1,No
CUST10052,30,Male,North,53,75.02,4047.98,Month-to-month,DSL,No,No,Yes,Credit card,0,2,185.0,No
CUST10053,40,Male,North,8,57.76,458.18,One year,DSL,Yes,No,No,Bank transfer,0,0,43.6,Yes
CUST10054,47,Female,East,5,89.36,554.17,One year,Fiber optic,No,Yes,Yes,Mailed check,2,0,403.9,Yes
CUST10055,49,Female,North,5,30.51,197.97,One year,No,No internet service,No internet service,No,Mailed check,1,0,0.0,No
CUST10056,20,Male,West,50,61.46,3053.67,Month-to-month,DSL,Yes,No,Yes,Mailed check,1,2,211.3,No
CUST10057,52,Male,East,61,72.25,4200.58,One year,DSL,No,Yes,Yes,Bank transfer,2,1,147.4,No
CUST10058,27,Female,West,46,87.1,4074.98,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,1,1,299.3,No
CUST10059,64,Female,East,19,32.83,580.16,Month-to-month,No,No internet service,No internet service,Yes,Credit card,2,1,0.0,Yes
CUST10060,61,Female,West,55,53.65,2928.21,Month-to-month,DSL,No,No,Yes,Mailed check,4,0,123.0,No
CUST10061,76,Male,North,5,34.83,154.01,One year,No,No internet service,No internet service,No,Electronic check,3,0,0.0,Yes
CUST10062,64,Female,South,60,22.85,1390.56,Month-to-month,No,,No internet service,Yes,Credit card,0,3,0.0,No
CUST10063,41,Male,South,65,53.5,3466.86,Month-to-month,DSL,No,Yes,Yes,Electronic check,1,1,157.4,No
CUST10064,78,Female,West,52,94.32,4439.84,Two year,Fiber optic,No,Yes,No,Credit card,1,3,116.9,No
CUST10065,43,Male,East,64,85.58,5541.03,Month-to-month,Fiber optic,No,No,Yes,Electronic check,1,2,411.1,Yes
CUST10066,38,Male,West,43,79.8,3409.16,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,3,1,453.5,Yes
CUST10067,75,Male,North,34,100.46,3526.74,Month-to-month,Fiber optic,No,Yes,No,Credit card,0,2,286.7,Yes
CUST10068,41,Male,West,24,94.33,,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,1,1,492.3,Yes
CUST10069,22,Female,South,67,87.26,5682.26,One year,Fiber optic,Yes,No,Yes,Electronic check,1,1,361.2,Yes
CUST10070,47,Male,South,51,83.32,4284.02,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,6,1,579.5,Yes
CUST10071,68,Male,West,14,28.64,473.29,Month-to-month,No,No internet service,No internet service,No,Mailed check,4,1,0.0,Yes
CUST10072,29,Male,South,69,88.6,5655.7,Two year,Fiber optic,No,No,Yes,Electronic check,6,0,402.4,No
CUST10073,47,Female,South,5,71.06,339.81,Two year,Fiber optic,No,Yes,No,Mailed check,1,1,426.7,Yes
CUST10074,26,Female,East,43,28.76,1247.34,One year,No,No internet service,No internet service,Yes,Mailed check,1,0,0.0,No
CUST10075,61,Female,North,14,64.53,967.87,Two year,DSL,Yes,No,No,Bank transfer,1,1,65.0,No
CUST10076,47,Female,South,48,34.48,1507.8,Two year,DSL,Yes,No,Yes,Electronic check,3,0,151.5,No
CUST10077,38,Female,North,30,88.96,2712.52,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,0,2,273.8,Yes
CUST10078,32,Female,North,32,31.95,981.22,One year,No,No internet service,No internet service,Yes,Credit card,5,0,0.0,Yes
CUST10079,53,Male,West,49,63.81,3029.46,One year,DSL,Yes,No,Yes,Electronic check,3,0,274.9,Yes
CUST10080,60,Female,East,55,95.02,5228.42,Month-to-month,Fiber optic,No,Yes,No,Mailed check,0,0,523.4,Yes
CUST10081,77,Female,South,28,54.72,1413.48,Month-to-month,DSL,Yes,,Yes,Bank transfer,2,2,204.4,Yes
CUST10082,45,Female,South,72,71.6,5144.19,Month-to-month,Fiber optic,No,No,Yes,Credit card,2,0,275.5,No
CUST10083,28,Male,South,36,70.0,2474.18,One year,Fiber optic,Yes,No,Yes,Bank transfer,2,1,322.7,Yes
CUST10084,70,Female,East,12,62.92,682.75,One year,DSL,No,No,Yes,Credit card,1,1,171.6,Yes
CUST10085,57,Male,West,1,32.03,81.4,One year,No,No internet service,,No,Electronic check,3,0,0.0,No
CUST10086,62,Male,West,15,68.68,1040.3,Month-to-month,DSL,No,Yes,No,Mailed check,2,1,256.0,Yes
CUST10087,24,Female,South,50,18.0,,Month-to-month,No,No internet service,No internet service,No,Credit card,1,0,0.0,No
CUST10088,37,Male,South,39,66.04,2625.38,Month-to-month,DSL,Yes,No,Yes,Credit card,3,1,50.0,Yes
CUST10089,66,Male,South,25,18.0,487.46,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,1,0,0.0,No
CUST10090,70,Female,East,35,73.31,2383.71,Two year,Fiber optic,No,No,No,Mailed check,2,2,319.7,No
CUST10091,45,Male,South,61,59.26,3381.55,Two year,DSL,Yes,No,Yes,Mailed check,2,1,,No
CUST10092,68,Female,East,42,63.63,2469.83,Two year,DSL,No,Yes,No,Electronic check,3,3,,No
CUST10093,71,Male,East,5,73.79,248.98,Two year,DSL,No,Yes,Yes,Credit card,5,2,50.2,Yes
CUST10094,42,Male,South,4,85.6,294.21,Two year,Fiber optic,Yes,No,Yes,Credit card,3,1,334.7,Yes
CUST10095,74,Female,South,35,79.34,2677.66,Month-to-month,Fiber optic,Yes,No,No,Mailed check,1,4,256.0,Yes
CUST10096,36,Female,South,30,72.83,2221.06,Month-to-month,Fiber optic,No,No,Yes,Electronic check,2,5,333.5,Yes
CUST10097,33,Male,North,62,81.12,5078.73,Month-to-month,Fiber optic,Yes,No,No,Mailed check,0,0,304.8,Yes
CUST10098,60,Female,North,42,109.21,4638.61,Month-to-month,Fiber optic,,Yes,Yes,Electronic check,1,1,371.8,Yes
CUST10099,58,Female,East,55,89.57,4953.25,Month-to-month,Fiber optic,No,No,Yes,,3,0,257.6,Yes
CUST10100,26,Male,South,43,93.13,4057.83,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,3,1,422.6,Yes
CUST10101,70,Female,North,25,84.61,1859.32,Two year,Fiber optic,No,Yes,Yes,Electronic check,3,1,418.9,Yes
CUST10102,30,Male,East,48,87.98,4217.12,Month-to-month,Fiber optic,,No,Yes,Bank transfer,1,0,348.9,Yes
CUST10103,68,Female,East,45,31.99,1246.57,Two year,No,No internet service,No internet service,Yes,Credit card,1,0,0.0,No
CUST10104,18,Female,South,52,81.94,4070.74,One year,Fiber optic,No,Yes,No,Electronic check,2,1,176.9,Yes
CUST10105,68,Female,West,14,,896.5,One year,DSL,Yes,Yes,No,Mailed check,1,1,199.8,No
CUST10106,67,Female,West,47,50.25,2327.41,One year,DSL,No,Yes,Yes,Mailed check,1,1,129.6,No
CUST10107,67,Male,East,21,77.53,1664.56,Month-to-month,Fiber optic,No,No,Yes,Electronic check,2,2,373.0,Yes
CUST10108,59,Male,East,57,82.49,4503.86,One year,Fiber optic,No,No,Yes,Mailed check,1,1,410.8,Yes
CUST10109,47,Male,North,58,18.0,989.35,Month-to-month,No,No internet service,No internet service,No,Bank transfer,3,0,0.0,No
CUST10110,62,Female,West,45,89.86,3730.49,Two year,Fiber optic,No,Yes,Yes,Electronic check,0,4,308.0,No
CUST10111,35,Female,South,69,89.85,6260.74,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,3,1,259.9,Yes
CUST10112,67,Male,West,39,86.21,3384.73,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,2,0,242.6,Yes
CUST10113,53,Female,East,2,43.73,30.61,One year,DSL,No,No,Yes,Electronic check,1,0,191.5,Yes
CUST10114,46,Female,North,44,88.05,3724.99,One year,Fiber optic,No,Yes,Yes,Bank transfer,2,1,264.6,Yes
CUST10115,49,Female,North,56,51.95,2803.97,Month-to-month,DSL,No,Yes,Yes,Bank transfer,0,0,145.4,No
CUST10116,53,Male,East,8,87.47,716.0,One year,Fiber optic,No,Yes,No,Credit card,2,1,254.6,Yes
CUST10117,20,Female,East,8,35.98,249.72,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,2,1,0.0,Yes
CUST10118,26,Female,North,20,75.47,1381.75,One year,Fiber optic,,No,Yes,Credit card,2,2,186.3,Yes
CUST10119,33,Male,East,61,46.73,2895.52,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,2,0,0.0,No
CUST10120,25,Male,West,38,81.27,3119.03,Month-to-month,Fiber optic,No,No,Yes,Mailed check,3,2,312.6,Yes
CUST10121,45,Male,South,71,29.12,2080.3,Month-to-month,No,No internet service,No internet service,Yes,Mailed check,3,1,0.0,No
CUST10122,60,Male,South,63,74.47,4812.15,Month-to-month,Fiber optic,No,No,Yes,Mailed check,2,0,236.5,Yes
CUST10123,59,Female,North,40,104.42,4211.72,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,2,1,152.3,No
CUST10124,47,Female,West,49,55.74,2695.79,Month-to-month,DSL,No,Yes,No,Electronic check,1,2,85.5,No
CUST10125,71,Female,South,24,54.06,1326.0,Month-to-month,DSL,Yes,No,Yes,Mailed check,2,0,257.0,No
CUST10126,53,Male,West,7,87.24,594.95,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,1,3,367.9,Yes
CUST10127,22,Female,South,29,54.32,1644.95,Month-to-month,DSL,No,Yes,Yes,Electronic check,1,2,244.5,No
CUST10128,66,Male,East,43,86.18,,Month-to-month,Fiber optic,No,No,Yes,Electronic check,2,3,381.0,No
CUST10129,54,Female,South,14,26.73,380.15,One year,No,No internet service,No internet service,No,Bank transfer,4,1,0.0,No
CUST10130,57,Male,North,16,24.6,282.78,Two year,No,No internet service,No internet service,No,Bank transfer,1,1,0.0,No
CUST10131,53,Male,West,2,55.89,115.15,Month-to-month,DSL,Yes,Yes,Yes,Credit card,2,0,272.3,Yes
CUST10132,52,Female,South,53,18.0,874.59,Two year,No,No internet service,,No,Bank transfer,1,1,0.0,No
CUST10133,23,Male,East,65,47.39,3024.02,Month-to-month,DSL,No,No,Yes,Credit card,3,1,115.8,No
CUST10134,53,Female,West,60,86.6,5183.82,Month-to-month,Fiber optic,No,No,Yes,Credit card,3,1,444.0,Yes
CUST10135,68,Female,West,28,31.62,873.91,One year,No,No internet service,No internet service,No,Electronic check,1,1,0.0,No
CUST10136,37,Female,West,43,59.97,2475.32,One year,DSL,No,No,No,Credit card,3,1,180.2,No
CUST10137,55,Female,North,70,62.99,3978.89,Two year,DSL,Yes,Yes,Yes,Electronic check,1,0,168.7,No
CUST10138,19,Male,East,43,61.84,2644.09,Month-to-month,DSL,Yes,No,Yes,Bank transfer,2,1,113.8,Yes
CUST10139,39,Female,West,22,86.32,1797.34,One year,Fiber optic,Yes,No,Yes,Credit card,2,0,324.4,Yes
CUST10140,45,Male,South,25,69.58,1750.14,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,3,1,,Yes
CUST10141,79,Female,North,53,49.84,2646.22,Month-to-month,DSL,No,No,No,Bank transfer,1,1,153.7,Yes
CUST10142,31,Male,West,33,54.25,1767.61,Month-to-month,DSL,Yes,No,Yes,Mailed check,4,4,102.1,Yes
CUST10143,35,Male,South,61,71.61,,Two year,Fiber optic,No,No,Yes,Electronic check,1,3,456.4,Yes
CUST10144,43,Female,East,63,51.33,3237.49,Month-to-month,DSL,No,Yes,Yes,Electronic check,0,0,270.8,Yes
CUST10145,80,Male,West,3,89.35,299.57,Two year,Fiber optic,Yes,No,Yes,Electronic check,2,1,431.1,Yes
CUST10146,71,Female,East,53,18.0,931.17,One year,No,No internet service,No internet service,Yes,Electronic check,1,1,0.0,No
CUST10147,20,Female,South,27,74.89,2019.42,One year,Fiber optic,No,No,No,Bank transfer,1,1,262.2,Yes
CUST10148,32,Female,South,38,40.48,1539.04,One year,No,No internet service,No internet service,No,Mailed check,4,0,0.0,No
CUST10149,69,Female,South,20,71.97,1406.57,Two year,Fiber optic,Yes,No,No,Mailed check,1,0,257.7,Yes
CUST10150,21,Female,North,27,23.17,700.86,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,0,4,0.0,No
CUST10151,71,Male,West,24,45.34,1174.12,Month-to-month,DSL,No,Yes,Yes,Electronic check,3,3,189.1,Yes
CUST10152,35,Male,West,4,44.48,107.38,One year,DSL,No,No,Yes,Electronic check,2,0,125.7,Yes
CUST10153,75,Male,South,57,91.02,5223.75,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,2,1,307.3,No
CUST10154,36,Female,South,11,53.12,651.33,Month-to-month,DSL,Yes,Yes,Yes,Credit card,1,0,257.5,No
CUST10155,45,Male,West,28,30.74,937.67,Month-to-month,No,No internet service,No internet service,No,Mailed check,2,2,0.0,No
CUST10156,59,Male,North,14,106.51,1448.75,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,2,0,332.8,Yes
CUST10157,25,Male,East,12,33.42,437.2,Month-to-month,No,No internet service,No internet service,Yes,Credit card,1,1,0.0,Yes
CUST10158,53,Male,South,27,73.25,1981.89,Month-to-month,DSL,Yes,Yes,Yes,Credit card,3,0,36.7,No
CUST10159,49,Male,East,67,68.2,4305.44,Two year,Fiber optic,No,No,No,Mailed check,0,3,349.6,Yes
CUST10160,67,Male,North,68,79.57,,Month-to-month,Fiber optic,No,No,Yes,Electronic check,4,1,430.9,Yes
CUST10161,80,Male,East,28,,1417.51,Two year,DSL,No,No,No,Electronic check,0,2,191.9,No
CUST10162,59,Male,South,37,101.71,3362.62,Two year,Fiber optic,Yes,Yes,Yes,Bank transfer,0,0,,No
CUST10163,43,Male,East,71,105.53,7500.58,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,1,0,366.2,No
CUST10164,43,Male,North,17,35.69,706.97,One year,No,No internet service,No internet service,Yes,Bank transfer,1,0,0.0,No
CUST10165,44,Female,South,69,96.96,6420.19,One year,Fiber optic,,No,No,Electronic check,3,0,357.6,No
CUST10166,69,Male,East,8,89.34,691.69,One year,DSL,Yes,Yes,Yes,Bank transfer,2,0,223.7,Yes
CUST10167,38,Male,North,17,88.96,1542.58,Month-to-month,Fiber optic,Yes,No,No,Credit card,2,1,381.3,No
CUST10168,28,Male,North,25,79.11,1971.35,Month-to-month,Fiber optic,No,No,Yes,Mailed check,5,4,350.2,Yes
CUST10169,39,Female,North,3,59.77,199.44,Month-to-month,DSL,Yes,No,Yes,Credit card,2,0,169.3,Yes
CUST10170,19,Female,South,59,72.85,4147.8,One year,Fiber optic,No,No,No,Mailed check,0,1,472.3,No
CUST10171,24,Female,North,62,58.68,3300.6,Two year,DSL,Yes,No,Yes,Mailed check,3,0,182.2,Yes
CUST10172,23,Male,West,28,39.73,1062.77,One year,DSL,No,Yes,Yes,Bank transfer,3,0,148.8,No
CUST10173,66,Male,South,61,87.7,5176.52,One year,Fiber optic,Yes,Yes,Yes,Mailed check,2,1,512.1,No
CUST10174,63,Male,West,56,55.85,2928.46,Two year,DSL,No,Yes,No,Credit card,1,1,283.2,No
CUST10175,61,Female,West,58,102.5,5778.62,One year,Fiber optic,Yes,Yes,Yes,Mailed check,0,1,263.9,Yes
CUST10176,47,Female,North,58,68.11,3968.83,Month-to-month,DSL,No,Yes,Yes,Mailed check,2,2,111.3,No
CUST10177,63,Female,East,42,78.36,3047.4,Two year,Fiber optic,Yes,No,No,Mailed check,2,1,301.0,No
CUST10178,28,Female,West,8,78.76,671.34,Month-to-month,DSL,Yes,No,No,Bank transfer,1,2,169.9,No
CUST10179,74,Female,East,67,26.48,1741.45,Month-to-month,No,No internet service,No internet service,No,Mailed check,3,0,0.0,Yes
CUST10180,49,Female,South,44,59.4,2578.63,Month-to-month,DSL,No,Yes,No,Bank transfer,0,0,63.8,Yes
CUST10181,77,Female,South,65,70.82,4228.17,Two year,Fiber optic,No,Yes,No,Mailed check,2,0,399.4,Yes
CUST10182,27,Male,North,70,45.8,3135.87,Month-to-month,DSL,No,No,Yes,Mailed check,1,0,209.8,No
CUST10183,49,Male,East,14,62.5,897.38,Month-to-month,DSL,No,No,Yes,Bank transfer,1,0,58.3,Yes
CUST10184,61,Female,West,29,88.7,2630.0,Month-to-month,Fiber optic,No,Yes,No,Electronic check,2,4,377.9,Yes
CUST10185,49,Male,West,14,26.08,326.07,Month-to-month,No,No internet service,No internet service,No,Bank transfer,3,0,0.0,No
CUST10186,46,Male,North,4,27.27,133.01,Month-to-month,No,No internet service,No internet service,No,Mailed check,1,1,0.0,No
CUST10187,28,Female,East,70,42.57,2826.1,One year,DSL,No,Yes,Yes,Mailed check,3,3,140.1,Yes
CUST10188,42,Male,South,67,51.03,3089.58,Two year,DSL,No,No,Yes,Bank transfer,1,1,144.0,No
CUST10189,33,Female,West,68,102.08,7054.5,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,1,0,302.5,No
CUST10190,36,Female,North,64,97.87,6208.56,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,2,0,436.1,Yes
CUST10191,61,Male,West,47,55.75,2549.89,Month-to-month,DSL,No,Yes,Yes,Mailed check,3,0,171.8,No
CUST10192,57,Female,West,38,97.64,3722.13,Month-to-month,Fiber optic,No,No,No,Electronic check,1,1,457.6,Yes
CUST10193,56,Female,North,72,69.41,4812.39,One year,Fiber optic,No,No,Yes,Bank transfer,0,0,471.3,No
CUST10194,40,Female,North,40,72.28,2812.25,One year,Fiber optic,No,No,Yes,Bank transfer,1,2,432.2,Yes
CUST10195,78,Male,West,47,111.64,5147.26,One year,Fiber optic,Yes,Yes,Yes,Bank transfer,2,1,238.7,No
CUST10196,23,Female,North,16,87.78,1361.74,Month-to-month,Fiber optic,No,No,No,Bank transfer,2,1,309.7,Yes
CUST10197,39,Female,East,54,54.11,2773.25,One year,DSL,No,Yes,No,Credit card,2,1,271.1,No
CUST10198,25,Female,West,60,86.45,5275.48,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,3,1,175.6,Yes
CUST10199,39,Male,East,49,43.93,2204.22,Month-to-month,DSL,No,No,Yes,Bank transfer,0,1,239.6,Yes
CUST10200,78,Male,South,36,90.77,3050.31,Two year,Fiber optic,Yes,No,Yes,,0,0,205.5,Yes
CUST10201,41,Female,South,15,88.97,1248.73,One year,Fiber optic,No,Yes,Yes,Mailed check,3,2,406.5,No
CUST10202,75,Male,North,3,93.2,319.16,Two year,Fiber optic,Yes,Yes,Yes,Bank transfer,3,0,398.1,No
CUST10203,49,Male,West,46,40.4,1753.9,Two year,DSL,No,No,No,Mailed check,1,2,92.9,No
CUST10204,62,Male,South,50,54.65,2633.62,One year,DSL,No,No,No,Mailed check,0,0,139.9,Yes
CUST10205,46,Male,North,56,76.7,3919.41,Two year,Fiber optic,No,No,Yes,Credit card,2,1,377.3,No
CUST10206,34,Male,South,69,78.14,5397.53,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,2,0,427.5,Yes
CUST10207,66,Male,West,36,37.67,1446.79,Month-to-month,No,No internet service,No internet service,Yes,Mailed check,2,1,0.0,No
CUST10208,79,Female,North,60,103.7,6161.83,Month-to-month,Fiber optic,No,No,Yes,Credit card,2,2,319.6,Yes
CUST10209,34,Male,West,52,44.43,2266.37,Month-to-month,No,No internet service,No internet service,Yes,Mailed check,2,3,0.0,No
CUST10210,67,Male,East,20,64.5,1255.47,Month-to-month,DSL,Yes,No,No,Credit card,3,0,91.9,Yes
CUST10211,34,Male,West,61,90.34,5488.14,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,2,0,356.9,Yes
CUST10212,63,Female,West,4,56.3,215.33,One year,DSL,No,Yes,No,Electronic check,1,1,164.5,Yes
CUST10213,67,Male,West,44,97.06,4152.54,One year,Fiber optic,Yes,Yes,Yes,Electronic check,3,0,335.4,Yes
CUST10214,46,Female,West,68,47.8,3145.76,One year,DSL,No,No,No,Electronic check,2,1,166.3,No
CUST10215,64,Female,North,48,76.19,3660.47,Month-to-month,DSL,Yes,Yes,No,Mailed check,2,3,232.0,Yes
CUST10216,35,Female,West,68,66.64,4365.49,One year,Fiber optic,No,Yes,Yes,Electronic check,4,2,194.2,Yes
CUST10217,22,Female,East,5,90.04,484.52,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,1,2,363.7,Yes
CUST10218,24,Male,East,39,66.01,2481.9,Month-to-month,DSL,Yes,No,No,Electronic check,4,0,206.2,Yes
CUST10219,46,Female,West,57,48.55,2826.29,Month-to-month,DSL,No,Yes,Yes,Electronic check,4,1,189.5,Yes
CUST10220,74,Male,West,47,79.6,3695.75,Month-to-month,Fiber optic,No,No,Yes,Credit card,2,2,209.6,Yes
CUST10221,26,Female,East,64,62.94,4003.77,Month-to-month,DSL,No,Yes,Yes,Bank transfer,4,2,109.6,Yes
CUST10222,46,Female,South,34,73.18,2307.79,Two year,DSL,Yes,No,Yes,Credit card,2,4,223.6,No
CUST10223,62,Female,South,50,75.06,3598.73,One year,Fiber optic,Yes,No,No,Mailed check,3,1,203.1,No
CUST10224,30,Female,South,31,49.32,1494.54,One year,DSL,Yes,Yes,Yes,Electronic check,2,0,127.6,No
CUST10225,63,Male,South,63,77.54,4892.82,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,0,1,511.0,No
CUST10226,37,Female,South,9,72.62,585.38,Two year,Fiber optic,Yes,No,Yes,Bank transfer,0,2,423.8,No
CUST10227,68,Female,North,19,48.34,965.8,One year,DSL,Yes,Yes,No,Electronic check,4,2,103.3,Yes
CUST10228,54,Female,North,7,42.27,334.83,Month-to-month,DSL,No,No,No,Credit card,2,2,240.9,Yes
